time_iso,content,url
2024-09-11T03:01:37.000Z,"On January 6, Trump summoned a violent mob and dispatched them to the US Capitol.

Trump never offered DC 10,000 troops, and the President — not the DC Mayor — controls the DC National Guard. 

Unlike Trump, we immediately offered the DC Metropolitan Police Department to support the US Capitol Police. We owe the DC Police and the US Capitol Police our never ending gratitude for saving our Capitol and democracy.",https://x.com/MayorBowser/status/1833702410688025011
2024-03-27T22:51:42.000Z,There's no place like home. #SportsCapital,https://x.com/MayorBowser/status/1773120740205732253
2023-10-08T18:41:27.000Z,"The Washington Commanders belong in Washington.

Let’s get back to winning. Let’s get back to RFK.",https://x.com/MayorBowser/status/1711089440385368550
2023-01-02T14:37:27.000Z,"LIVE: Mayor Bowser Sworn In as the First African American Woman to be Elected to Three, Four-year Terms as Mayor of an American City 
x.com/i/broadcasts/1
…",https://x.com/MayorBowser/status/1609921820974780420
2022-12-22T01:14:43.000Z,"We proudly stand with the people of Ukraine and welcome President Zelenskyy to Washington, DC. #StandWithUkraine",https://x.com/MayorBowser/status/1605733540183826432
2022-06-24T14:15:51.000Z,"Washington, DC is a proud pro-choice city and access to abortion is still legal here.

This is about health care.

This is about women’s rights.

This is about bodily autonomy.

A majority of Americans believe in a woman’s right to choose. This fight is urgent but not over.",https://x.com/MayorBowser/status/1540337914466516996
2022-02-02T14:23:11.000Z,"The next chapter for the Washington Commanders should be a return to winning, right here in DC.",https://x.com/MayorBowser/status/1488880684605313041
2021-03-22T17:18:31.000Z,"They say DC is too small, or our economy is not diverse enough. Even though we’re bigger by population than two states and pay more per capita than any state; we pay more in total federal taxes than 22 states. 

No reason for this Congress not to right this wrong. 

#DCStatehood",https://x.com/MayorBowser/status/1374047854130561026
2021-03-22T11:41:07.000Z,"This is America, and in America we are entitled to equal protection under the law. That is why we are demanding #DCStatehood!",https://x.com/MayorBowser/status/1373962943872831488
2021-03-18T17:36:35.000Z,"Let’s get it done Mr. President. 

#DCstatehood",https://x.com/MayorBowser/status/1372602848614227968
2021-03-17T01:44:52.000Z,"The tragic shootings in Georgia come at a time when anti-Asian hate crimes are on the rise.

We must stand united in love in pushing back against all hate. We must condemn bigotry & always stand up for our neighbors.

We send our love to the AAPI communities in DC & Georgia.",https://x.com/MayorBowser/status/1372000951683399683
2021-02-27T13:34:53.000Z,"Walking down Hidden Figures Way, you’ll now find 
@NASA
’s Mary W. Jackson headquarters building, in honor of the first Black female engineer at NASA. 

#DCProud of this moment in Black history. May the name inspire young children of color to dream for the moon (or maybe Mars)",https://x.com/MayorBowser/status/1365656654482726914
2021-01-28T21:34:54.000Z,"1/ Based on conversations with federal partners, there are some potentially volatile events upcoming that will require extra security. Fencing and the presence of troops will be a part of that. But we will not accept extra troops or permanent fencing as a long-term fixture in DC.",https://x.com/MayorBowser/status/1354905817041014786
2021-01-28T21:34:54.000Z,"2/ When the time is right, the fencing around the White House and U.S. Capitol, just like the plywood we’ve seen on our businesses for too long, will be taken down.",https://x.com/MayorBowser/status/1354905818051842049
2021-01-20T16:17:52.000Z,"Today, I brought Dr. Nesbitt as my guest to Inauguration in honor of our health care workers and all the sacrifices they and our residents have made.

It is a new and hopeful day. 

#DCHOPE #InaugurationDay #WeAreDC",https://x.com/MayorBowser/status/1351926929218220036
2021-01-20T13:27:25.000Z,"Time to pick up the pieces and heal this great nation. 

#InaugurationDay",https://x.com/MayorBowser/status/1351884035518312455
2021-01-20T03:30:31.000Z,"This time tomorrow, we will have one of DC's very own 
@HowardU
 alum as the first Madam Vice President in the history of our country. #WeAreDC

#Inauguration",https://x.com/MayorBowser/status/1351733819238440960
2021-01-18T17:22:33.000Z,"Share pictures of life in your DC neighborhood with the hashtags #WeAreDC and #DCStatehood. We'll be featuring your posts throughout the day. 

#WeAreDC, a city of over 712,000 tax payers protecting our nation’s capital without representation in Congress.",https://x.com/MayorBowser/status/1351218431304097800
2021-01-10T17:08:20.000Z,"I strongly urge the United States Department of Homeland Security to adjust its approach to the Inauguration in several specific ways, and have outlined them in the following letter to Acting Secretary Wolf.",https://x.com/MayorBowser/status/1348315751241961473
2021-01-07T18:01:31.000Z,We must get DC statehood on the President's desk within the first 100 days of the 117th Congress.,https://x.com/MayorBowser/status/1347241973707661315
2021-01-07T17:17:43.000Z,"I'm upset that 706,000 residents of the District did not have a single vote in Congress yesterday despite the fact that our people were putting their lives on the line to protect our democracy. We should all be upset. 

#DCStatehood",https://x.com/MayorBowser/status/1347230948153118722
2021-01-07T03:46:24.000Z,"I have issued Mayor’s Order 2021-003, extending the public emergency declared earlier today for a total of 15 days, until and unless provided for by further Mayoral Order.",https://x.com/MayorBowser/status/1347026775134662658
2021-01-06T19:31:46.000Z,"Today, I'm ordering a citywide curfew for the District of Columbia from 6:00 p.m. on Wednesday, January 6, until 6:00 a.m. on Thursday, January 7.",https://x.com/MayorBowser/status/1346902298044325893
2021-01-06T13:58:53.000Z,"When Black women are successful, our country is successful and this is why representation matters.",https://x.com/MayorBowser/status/1346818524317167618
2021-01-05T18:53:49.000Z,"To be clear, the District of Columbia is not requesting other federal law enforcement personnel and discourages any additional deployment without immediate notification to, and consultation with, MPD if such plans are underway.",https://x.com/MayorBowser/status/1346530358674792466
2021-01-04T19:08:14.000Z,"I am asking Washingtonians and those who live in the region to stay out of the downtown area on Tuesday and Wednesday and not to engage with demonstrators who come to our city seeking confrontation, and we will do what we must to ensure all who attend remain peaceful.",https://x.com/MayorBowser/status/1346171597728710663
2021-01-03T22:51:14.000Z,"I am asking Washingtonians and those who live in the region to stay out of the downtown area on Tuesday and Wednesday and not to engage with demonstrators who come to our city seeking confrontation, and we will do what we must to ensure all who attend remain peaceful.",https://x.com/MayorBowser/status/1345865329784844289
2020-12-24T14:14:11.000Z,"Happy Dr. Fauci Day, DC.

We are incredibly proud to count him among the many DC residents who are sacrificing so much to keep our communities healthy and safe",https://x.com/MayorBowser/status/1342111330417958912
2020-12-23T20:00:00.000Z,"In honor of Dr. Fauci's 80th birthday tomorrow, I proclaim Thursday, December 24, 2020, “Dr. Anthony S. Fauci Day” in Washington, DC.

We are incredibly proud to count Dr. Fauci among the many DC residents who are sacrificing so much to keep our communities healthy and safe.",https://x.com/MayorBowser/status/1341835973722734592
2020-11-07T22:32:12.000Z,DC Mood,https://x.com/MayorBowser/status/1325204434297630733
2020-11-03T13:56:13.000Z,"For those who have fought for our right to vote: 

#VOTE",https://x.com/MayorBowser/status/1323625027665825792
2020-08-28T02:41:58.000Z,"If that’s your best reason, there’s no reason at all.

To deny 706,000 residents the right to equal representation is to turn your back on our democratic values. This is a democracy and we should treat it as such.

#DCStatehood now.",https://x.com/MayorBowser/status/1299175363214487553
2020-08-05T19:40:22.000Z,When you pay federal taxes and still don’t have a vote in Congress.,https://x.com/MayorBowser/status/1291096728503025670
2020-08-02T15:36:19.000Z,"My birthday wish has already come true: being mayor of my hometown.

Thank you for all the birthday wishes, and if you want to make another come true, please wear your masks.",https://x.com/MayorBowser/status/1289948147658055681
2020-08-01T12:11:33.000Z,"I put on for my city. 

Mask on DC.",https://x.com/MayorBowser/status/1289534228141547520
2020-07-27T09:55:02.000Z,"1/ Beginning today, Monday, July 27, anyone coming into Washington, DC from a high-risk state (within the prior 14 days) who was traveling for non-essential activities will be required to self-quarantine for 14 days from their arrival in the District.",https://x.com/MayorBowser/status/1287687935450648578
2020-07-22T02:34:50.000Z,"All extraordinary federal law enforcement and military presence needs to be withdrawn from American cities 
@realDonaldTrump
.",https://x.com/MayorBowser/status/1285765215112630272
2020-07-18T03:53:31.000Z,"1/ In this moment, it is difficult and heartbreaking to comprehend a world without John Lewis.",https://x.com/MayorBowser/status/1284335467341721600
2020-07-16T22:10:10.000Z,"Yes. Because we’re not a state, our streets were militarized.

Yes. Because we’re not a state, we were short-changed on coronavirus relief funding.

No. DC becoming a state isn’t going to change anything for you. It will, however, help 705,000 Washingtonians get fair treatment.",https://x.com/MayorBowser/status/1283886668978827264
2020-07-15T13:40:41.000Z,"Taxes are due today. When’s the due date to end taxation without representation for 705,000 Washingtonians?",https://x.com/MayorBowser/status/1283396065731981313
2020-07-15T01:01:00.000Z,"51st.

State.",https://x.com/MayorBowser/status/1283204884985257986
2020-07-13T19:29:31.000Z,"In Fauci we trust.

Mask on, DC.",https://x.com/MayorBowser/status/1282759079270768642
2020-06-27T03:31:25.000Z,"I was born without representation, but I swear – I will not die without representation. Together, we will achieve #DCStatehood, and when we do, we will look back on this day and remember all who stood with us on the right side of history.

Good night, DC.
@andyharnik",https://x.com/MayorBowser/status/1276719758788956160
2020-06-26T14:42:37.000Z,"The color of your skin should not decide whether you get a vote in our democracy.

#DCStatehood now.",https://x.com/MayorBowser/status/1276526283799871489
